COUNTRY_CODE,COUNTRY,avg_tavg,std_tavg,avg_prcp,std_prcp,std_tavg_scaled,std_prcp_scaled,temp_index,prcp_index,climate_index
AF,Afghanistan,14.094323352854337,2.408790861498577,2.558401017056728,5.938910470472531,5.1124087409101815,1.6475382313866693,0.9949748743718593,0.7738693467336684,0.8844221105527639
AL,Albania,16.371148159668362,0.6006236398822385,5.3204725006705,3.1038935748448293,1.2747613732729446,0.8610642231664113,0.6733668341708543,0.45226130653266333,0.5628140703517588
AG,Algeria,19.919129679251576,0.48201275602852095,1.292381784203714,1.62493545525811,1.0230220757385886,0.45078020613104663,0.5879396984924623,0.22110552763819097,0.40452261306532666
AQ,American Samoa [United States],27.67104978910112,0.06484253915072763,10.88310144330834,2.7423988740532397,0.13762156326463065,0.7607804517644084,0.01507537688442211,0.3869346733668342,0.20100502512562815
AO,Angola,24.488995982014554,0.40960747671273373,6.266257510435891,17.454581670534765,0.8693493809527144,4.8421492053203075,0.5025125628140703,0.964824120603015,0.7336683417085427
AY,Antarctica,-8.13404215013969,0.3517812327946832,3.1648693983086953,7.138838254419185,0.7466191765227934,1.9804152647725424,0.4120603015075377,0.8341708542713567,0.6231155778894473
AR,Argentina,16.75523596193481,0.22002132378293068,5.562312749754347,2.286652982936768,0.46697243703203434,0.6343500596672481,0.24120603015075376,0.32663316582914576,0.28391959798994976
AM,Armenia,7.312352816490685,0.9476240833932825,5.043495988959719,13.748557826898336,2.0112338204499944,3.814045481720013,0.9045226130653267,0.949748743718593,0.9271356783919598
AS,Australia,19.123621225402427,0.19688115035125747,1.9929948453611772,1.0019910248202386,0.41785981924143684,0.27796656122453794,0.20100502512562815,0.12060301507537688,0.16080402010050251
AU,Austria,6.777628379435665,0.6551886862412276,3.96121512554158,0.8885108875657323,1.3905700241660806,0.24648555716506268,0.7185929648241206,0.10050251256281408,0.40954773869346733
AJ,Azerbaijan,14.243361173703372,0.5395244184868967,11.531824923058949,7.520320781294376,1.1450846136517205,2.0862439434094275,0.6482412060301508,0.8492462311557789,0.7487437185929648
BF,"Bahamas, The",26.123259020954304,0.4463155682087182,4.595591631617652,2.83735055147291,0.9472584974417436,0.7871213975424232,0.542713567839196,0.41708542713567837,0.4798994974874372
BA,Bahrain,27.366738524965857,0.535939125236604,5.888030636332267,14.14387671389244,1.1374752006285744,3.923712563443202,0.6432160804020101,0.9547738693467337,0.7989949748743719
BG,Bangladesh,25.575997360710943,0.3655685094032105,5.812045099385503,5.17649299923828,0.7758812409773763,1.4360327812909328,0.4321608040201005,0.7286432160804021,0.5804020100502513
BB,Barbados,27.19217644802628,0.09368565345397586,4.296219465724649,8.969668015644688,0.19883808149206203,2.4883134797357904,0.04020100502512563,0.8894472361809045,0.46482412060301503
BO,Belarus,6.749742304317224,1.058435655337164,2.814182771147598,0.5932493763221395,2.246419887474283,0.16457581455328035,0.9296482412060302,0.035175879396984924,0.4824120603015076
BE,Belgium,11.048028222987652,0.7224268664350312,3.4046769758957924,1.0386781448428148,1.5332760870460431,0.28814409010583397,0.7889447236180904,0.1407035175879397,0.46482412060301503
BH,Belize,27.365908688190224,0.24547770171759528,4.998406849262255,4.213515638285807,0.5210009586215452,1.1688891652998998,0.2914572864321608,0.6331658291457286,0.4623115577889447
BN,Benin,27.536682555488298,0.09447813634125979,7.065864356370763,2.8261830990731256,0.2005200442164853,0.784023387416271,0.05527638190954774,0.4120603015075377,0.23366834170854273
BD,Bermuda [United Kingdom],22.183086093915705,0.4906112813583854,4.164334343320289,1.907490544337831,1.0412715538306752,0.5291650065159339,0.6030150753768844,0.2663316582914573,0.4346733668341708
BL,Bolivia,23.71093591218224,0.22355692831846594,8.603149528788736,1.4497461043772635,0.47447639091229227,0.40218018854481696,0.24623115577889448,0.20100502512562815,0.22361809045226133
BK,Bosnia and Herzegovina,11.118172947655923,0.7547872348407619,3.567506788447013,3.2304391861810946,1.601957612263059,0.8961697755614632,0.8140703517587939,0.4824120603015075,0.6482412060301508
BC,Botswana,23.262761207431357,0.652769185746142,4.399929537755183,3.6444059564027595,1.3854348853387866,1.011010045313768,0.7135678391959799,0.5477386934673367,0.6306532663316583
BR,Brazil,25.281784206742184,0.3306383610168587,6.839432845813874,2.1715355529734297,0.7017456243134302,0.6024148473237478,0.3768844221105528,0.3065326633165829,0.3417085427135679
BX,Brunei,27.706797320990923,0.07241329719810276,10.576620789257355,3.4549221055808257,0.15368971190939815,0.9584445301386142,0.02512562814070352,0.5226130653266332,0.27386934673366836
BU,Bulgaria,12.122277874557483,0.8581598382970398,2.3651357790945666,5.667128833488584,1.8213552403127322,1.5721421398398845,0.864321608040201,0.7688442211055276,0.8165829145728642
UV,Burkina Faso,28.658785733848855,0.2879423430920917,6.646842123102466,3.2984819407360675,0.6111277551037976,0.9150458034213776,0.3417085427135678,0.49748743718592964,0.41959798994974873
BM,Burma,27.370216789098723,0.20614175896332596,14.319719305631748,36.966021908845036,0.4375145004224477,10.254900231263068,0.21608040201005024,0.9899497487437185,0.6030150753768844
CB,Cambodia,28.99015648990916,0.2502307459200175,7.814601073052019,5.264307233437783,0.5310888019103887,1.4603936988065176,0.3015075376884422,0.7386934673366834,0.5201005025125628
CM,Cameroon,26.920317508913076,0.40660324963085226,11.139086390153297,4.976943729080258,0.8629732205983303,1.3806749756352954,0.49246231155778897,0.7135678391959799,0.6030150753768844
CA,Canada,0.9525945379403882,1.1417316071888275,2.2926821572380485,0.4366206806945287,2.4232069050337683,0.12112478671547851,0.949748743718593,0.01507537688442211,0.4824120603015075
