months,avg_tmax_values
1,7.324050311837365
2,8.651887827150116
3,12.840220397936665
4,17.395275507914814
5,21.687256133512808
6,25.342301879469225
7,27.499519797368784
8,26.90988515197457
9,23.631452303474028
10,18.164244407738
11,12.45351739272716
12,8.003746958408865
