months,avg_prcp_values
1,2.2841221750709417
2,2.3940886563510073
3,2.328208067502408
4,2.3607806523786747
5,2.7010759627920145
6,2.925490457722106
7,2.831336710417601
8,2.7980474555201225
9,2.682894073678567
10,2.546338644105904
11,2.2674440904982496
12,2.4742573630593654
