months,avg_tmin_values
1,-3.1539943454274417
2,-2.5532283270912046
3,0.8195267265740694
4,4.677033983009255
5,8.92373618502983
6,12.702755812603742
7,14.860584058836974
8,14.255845113518307
9,11.187538027323622
10,6.54818511225306
11,1.704103056381208
12,-2.064042206993299
