summary,ID,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME,PRCP,TMAX,TAVG,TMIN,COUNTRY_CODE,STATE,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,COUNTRY,HOUR_OF_DAY
count,258404,16091,0,258404,124207,235526,124417,47172,123291,258404,23694,142227,131048,258404,258404,258404,258404,124207
mean,,,,3.1992068008821226,900.2587937877897,2.5562388016609545,17.476381844924727,10.712797846179935,5.646150165056657,,135.2377415873639,40.42307069684375,-47.485741996062515,2011.6380512685562,6.483173635083048,15.745619262859709,,8.975275145523199
stddev,,,,3.4870665320289342,465.2000165201765,8.30131555115594,12.748695526311044,13.05753753620925,11.52926049299857,,207.02327841385588,11.87556423929327,87.53702944825743,6.651039162077709,3.4376716879193068,8.813992607189979,,4.658416503804095
min,AE000041196,B,,0,0000,0.0,-41.9,-44.6,-45.0,AE,(CYCNA),-9.879,-99.9996,2000,1,1,Albania,0
max,ZI000067983,T,,z,2400,304.0,50.0,41.7,39.4,ZI,ZUMPANGO DEL RIO,82.5,999.7,2023,12,31,Zimbabwe,24
