Bins,Count
-99.9000015258789,2.9587584744532896e-09
-71.33700248718262,0.0
-42.774003448486326,0.0
-14.211004409790036,0.03319055222224966
14.351994628906255,0.001538257051489028
42.914993667602545,0.0002087640804404752
71.47799270629883,4.734901186667599e-05
100.04099174499513,1.4663606999390503e-05
128.60399078369142,5.423404283672885e-06
157.16698982238768,2.4868364977779873e-06
185.729988861084,1.2841011779127263e-06
214.29298789978031,6.065454872629249e-07
242.85598693847658,3.802004639672481e-07
271.41898597717284,2.3818005719348956e-07
299.98198501586916,1.3018537287594461e-07
328.5449840545655,8.432461652191884e-08
357.10798309326174,1.9231930083946402e-08
385.670982131958,1.4793792372266462e-08
414.23398117065426,2.3670067795626247e-08
442.79698020935064,1.0355654660586524e-08
471.3599792480469,1.183503389781317e-08
499.92297828674316,7.396896186133201e-09
528.4859773254395,4.438137711679938e-09
557.0489763641358,2.9587584744532925e-09
585.6119754028321,1.4793792372266463e-09
614.1749744415283,1.4793792372266463e-09
642.7379734802246,0.0
671.300972518921,0.0
699.8639715576172,0.0
728.4269705963135,0.0
756.9899696350099,0.0
785.5529686737061,0.0
814.1159677124024,1.4793792372266463e-09
842.6789667510986,0.0
871.2419657897949,0.0
899.8049648284913,2.958758474453304e-09
928.3679638671874,0.0
956.9309629058839,0.0
985.4939619445802,1.4793792372266463e-09
1014.0569609832764,0.0
1042.6199600219727,0.0
1071.182959060669,0.0
1099.7459580993652,0.0
1128.3089571380615,0.0
1156.871956176758,0.0
1185.4349552154542,0.0
1213.9979542541505,0.0
1242.5609532928468,0.0
1271.123952331543,0.0
1299.6869513702393,0.0
1328.2499504089355,0.0
1356.8129494476318,0.0
1385.375948486328,0.0
1413.9389475250246,0.0
1442.5019465637208,0.0
1471.064945602417,0.0
1499.6279446411133,0.0
1528.1909436798096,0.0
1556.7539427185059,0.0
1585.3169417572021,0.0
1613.8799407958986,0.0
1642.4429398345949,0.0
1671.0059388732911,0.0
1699.5689379119874,0.0
1728.1319369506837,0.0
1756.69493598938,0.0
1785.2579350280762,0.0
1813.8209340667725,0.0
1842.3839331054687,0.0
1870.9469321441652,0.0
1899.5099311828615,0.0
1928.0729302215577,0.0
1956.6359292602538,0.0
1985.1989282989502,0.0
2013.7619273376467,0.0
2042.3249263763428,0.0
2070.8879254150393,0.0
2099.4509244537353,0.0
2128.013923492432,0.0
2156.576922531128,0.0
2185.1399215698243,0.0
2213.702920608521,0.0
2242.265919647217,0.0
2270.8289186859133,0.0
2299.3919177246094,0.0
2327.954916763306,0.0
2356.517915802002,0.0
2385.0809148406984,0.0
2413.643913879395,0.0
2442.206912918091,0.0
2470.7699119567874,0.0
2499.3329109954834,0.0
2527.89591003418,0.0
2556.458909072876,0.0
2585.0219081115724,1.479379237226658e-09
2613.5849071502685,0.0
2642.147906188965,0.0
2670.7109052276614,0.0
2699.2739042663575,0.0
2727.836903305054,1.479379237226658e-09
