YEAR,count
2000,9717063
2001,9677654
2002,9780574
2003,9926513
2004,10061837
2005,10059498
2006,10239417
2007,10498167
2008,11267563
2009,11695629
2010,11756150
2011,11748288
2012,11807269
2013,11621204
2014,11512839
2015,11542212
2016,11507058
2017,11511119
2018,11629107
2019,11626374
2020,11962639
2021,11772741
2022,12001392
2023,4502790
