Bins,Count
-45.0,0.0001744418681366673
-39.625,0.0004512862660485068
-34.25,0.0009649665617560937
-28.875,0.001724797539364564
-23.5,0.0031682134795273675
-18.125,0.005578864582091225
-12.75,0.009741431264841859
-7.375,0.020423535533539802
-2.0,0.03200981988578516
3.375,0.03239617309231367
8.75,0.03436216344461993
14.125,0.02434567561946061
19.5,0.01727181823618572
24.875,0.003325903760120121
30.25,0.00010584299035594017
35.625,1.4723368424247177e-06
41.0,7.511922665432232e-08
46.375,0.0
51.75,1.5023845330864466e-08
57.125,1.5023845330864466e-08
